CustomerID,SimilarCustomers
C0001,"[('C0137', 0.9999291789477135), ('C0152', 0.9998554710948365), ('C0107', 0.9893462467870134)]"
C0002,"[('C0142', 0.9929186835940007), ('C0043', 0.9902793752543472), ('C0177', 0.9709905064209611)]"
C0003,"[('C0133', 0.9974501506919936), ('C0052', 0.9949959402644697), ('C0192', 0.96788764693475)]"
C0004,"[('C0113', 0.9906184644924116), ('C0102', 0.9868499995684168), ('C0108', 0.9844463789375889)]"
C0005,"[('C0180', 0.9999206331905969), ('C0159', 0.9999093772525305), ('C0123', 0.9998489079703811)]"
C0006,"[('C0158', 0.9721823024015926), ('C0168', 0.954232396582751), ('C0187', 0.9110630380255406)]"
C0007,"[('C0092', 0.9999995062491877), ('C0193', 0.9999860329310987), ('C0140', 0.9970073153255)]"
C0008,"[('C0109', 0.9806650275246662), ('C0139', 0.9718446104485802), ('C0098', 0.9395618134467796)]"
C0009,"[('C0062', 0.9856823344584038), ('C0198', 0.9822819208980396), ('C0121', 0.9752463415222528)]"
C0010,"[('C0199', 0.9968329080506292), ('C0121', 0.9842962944450736), ('C0166', 0.9732755641599705)]"
C0011,"[('C0107', 0.9983885132666855), ('C0048', 0.9979820971230838), ('C0152', 0.9827744081951463)]"
C0012,"[('C0155', 0.9992813479856845), ('C0108', 0.9940190545597198), ('C0013', 0.9844521464361426)]"
C0013,"[('C0087', 0.9944857312437704), ('C0155', 0.9904027909641046), ('C0099', 0.9903311394495226)]"
C0014,"[('C0060', 0.9993546455561517), ('C0198', 0.9949024285941094), ('C0063', 0.9895689893886878)]"
C0015,"[('C0144', 0.9995067470324409), ('C0058', 0.9938882921021438), ('C0020', 0.9930831846476473)]"
C0016,"[('C0183', 0.9999215728611632), ('C0018', 0.9211133448437205), ('C0117', 0.915714262096098)]"
C0017,"[('C0075', 0.9798142121599288), ('C0124', 0.9791981961952012), ('C0051', 0.9295910969957117)]"
C0018,"[('C0016', 0.9211133448437205), ('C0183', 0.916165618334741), ('C0079', 0.9026221302332798)]"
C0019,"[('C0172', 0.9999839210115642), ('C0111', 0.9346714888336565), ('C0103', 0.93165667957791)]"
C0020,"[('C0058', 0.9959529806446508), ('C0144', 0.9940286051657278), ('C0015', 0.9930831846476473)]"
